x,y,p,Ux,Uy,Rx,Ry,Rxy,viscosity
0.109065,0.063132,-585.21570405944,27.626075383985725,7.077034704711727,15.459429896634154,0.0033509412654396976,-26.898408269149733,-15.438871659489447
0.090042,0.057782,-619.515269427416,27.66086728366027,7.895180570066995,18.334049225512466,0.003488825621447353,-27.649186841303695,-18.285824036128705
0.072683,0.052232,-660.7367449613924,27.492841810148335,8.802766467924618,21.749841810876696,0.003629619104467034,-28.105698642799133,-21.674277805485538
0.057058,0.046525,-711.5559907732375,27.068312706426795,10.00004893500543,25.806174820058065,0.003762768197736914,-27.902487297645813,-25.76045541501706
0.043226,0.040706,-770.9804028578156,26.326550569477448,11.921771350588669,30.68177826580563,0.0038909354361010896,-26.42005101570363,-30.80058133322019
0.031239,0.034816,-837.8761963447037,25.440756001821597,15.368220094296177,36.700333863940834,0.004047979041075976,-22.94226312600196,-37.18856938255607
0.021141,0.028897,-921.5168740627315,24.225121666636817,21.25249880597732,43.980855635836,0.004285824815094829,-16.348236959698927,-45.29784960325571
0.012969,0.022985,-1016.6289930845686,21.631335994592092,29.237670562255,51.06399950751258,0.004675956179149722,-4.385571648668348,-54.127438311188754
0.006752,0.017115,-1038.146864888384,16.774674978713644,36.33731693668518,51.98729591293792,0.005129683390940651,13.236895262939274,-56.99654650938861
0.00251,0.011314,-933.8805659772565,10.729951175314103,39.91085406701857,44.50827645387798,0.0054082627518984355,28.763878831987846,-50.23660858373467
0.000258,0.005604,-669.4617962171263,3.6923337821592073,38.83525504018714,24.982509317823244,0.005449150569050434,40.331155444044974,-29.180813299978105
0.0,0.0,-321.0869233747138,-1.5914009993006766,32.79490593776706,7.5488577076982,0.0049242354687212865,35.682299654813605,-9.383989332101969
0.001715,-0.005341,12.150056776992926,-4.123678581578825,23.761587722461222,-3.004572308982026,0.004083913310855894,23.103406999231076,3.163223552294313
0.005375,-0.010265,232.97601644116446,-2.9347606118064795,13.683108687951995,-2.000704364590372,0.0031752546948719965,10.759121706883489,2.6043003546405616
0.010961,-0.014765,331.1506942270589,-0.24279013956730522,6.5312119350905125,-0.442614632256582,0.002494102271801595,5.646754794709119,0.8741285882086642
